effective_date,base_and_all_options_value,count
2012-06-30,5878.568441599991,7363
2012-07-31,8139.673184000009,8443
2012-08-31,6800.686355900015,11241
2012-09-30,17802.43151420001,13148
2012-10-31,7116.538507800014,11958
2012-11-30,3356.935526099999,6690
2012-12-31,3374.3912210000076,7073
2013-01-31,3703.3284175999966,8103
2013-02-28,2754.913894700003,5902
2013-03-31,2297.806545600004,6446
2013-04-30,2070.992600699998,5540
2013-05-31,3506.8846888999988,6281
2013-06-30,4096.423142599995,9343
2013-07-31,4983.99219070001,11614
2013-08-31,5790.040521399991,7078
2013-09-30,10585.784728600016,13230
2013-10-31,2746.7090433999992,5449
2013-11-30,2617.374349500002,4662
2013-12-31,2950.048874800001,3546
2014-01-31,3276.962695500005,4682
2014-02-28,4043.4667760999982,4713
2014-03-31,7518.394014899989,14166
2014-04-30,6915.428664700009,9395
2014-05-31,2866.548544900004,4789
2014-06-30,4895.3148680999975,7235
2014-07-31,6818.079822899989,9853
2014-08-31,6514.344848800024,6128
2014-09-30,26207.98866000013,24372
2014-10-31,9704.080557400002,8504
2014-11-30,4183.2306168999985,5591
2014-12-31,6507.717452699994,9804
2015-01-31,6364.0148422000075,7830
2015-02-28,4060.8185073000072,4399
2015-03-31,4375.584922999992,8522
2015-04-30,2287.258033700001,4390
2015-05-31,1447.1487788000038,3448
2015-06-30,3742.827097399987,7828
2015-07-31,4025.8735089000033,10258
2015-08-31,6730.600622599992,13919
2015-09-30,11796.41341860004,15089
2015-10-31,1794.8000736000022,4580
2015-11-30,746.9694547,3518
2015-12-31,936.3699904999999,3947
2016-01-31,-2884.1468434000003,3911
2016-02-29,1687.075728400002,7420
2016-03-31,20676.48643480018,40509
2016-04-30,20788.08299370019,35856
2016-05-31,553.5480520999998,365
2016-06-30,286.4453591999999,116
2016-07-31,168.6114543,57
2016-08-31,60.33846369999999,45
2016-09-30,125.9264616,52
2016-10-31,13.8402795,33
2016-11-30,0.05,2
2016-12-31,0.46835,6
