,naics_code,fiscal_year,base_and_all_options_value
210, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2002,0.0
211, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2003,0.0
212, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2001,0.0
213, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2002,0.0
214, FLUID POWER PUMP AND MOTOR MANUFACTURING,2001,0.0
215," SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2001,0.0
216, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2001,0.0
217, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2000,0.0
218," OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2000,0.0
219," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2000,0.0
220," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2001,0.0
221," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2002,0.0
222, OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,2000,0.0
223, OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,2001,0.0
224, PETROLEUM BULK STATIONS AND TERMINALS,2000,0.0
225, PETROLEUM BULK STATIONS AND TERMINALS,2002,0.0
226, PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2001,0.0
227, PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2000,0.0
228, PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2001,0.0
229, BEER AND ALE WHOLESALERS,2002,0.0
230, BEER AND ALE WHOLESALERS,2004,0.0
231, BEER AND ALE WHOLESALERS,2006,0.0
232, WINE AND DISTILLED ALCOHOLIC BEVERAGE WHOLESALERS,2001,0.0
233, FARM SUPPLIES WHOLESALERS,2001,0.0
234, FARM SUPPLIES WHOLESALERS,2002,0.0
235," BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",2001,0.0
236," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",2001,0.0
237," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",2002,0.0
238," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",2003,0.0
239," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",2004,0.0
240, TOBACCO AND TOBACCO PRODUCT WHOLESALERS,2001,0.0
241, TOBACCO AND TOBACCO PRODUCT WHOLESALERS,2004,0.0
242, TOBACCO AND TOBACCO PRODUCT WHOLESALERS,2005,0.0
243," PAINT, VARNISH, AND SUPPLIES WHOLESALERS",2001,0.0
244," PAINT, VARNISH, AND SUPPLIES WHOLESALERS",2002,0.0
245, OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,2001,0.0
246, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,2003,0.0
247, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,2001,0.0
248, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,2000,0.0
249, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,2003,0.0
250, POULTRY AND POULTRY PRODUCT WHOLESALERS,2001,0.0
251, POULTRY AND POULTRY PRODUCT WHOLESALERS,2006,0.0
252, POULTRY AND POULTRY PRODUCT WHOLESALERS,2007,0.0
253, CONFECTIONERY WHOLESALERS,2001,0.0
254, CONFECTIONERY WHOLESALERS,2002,0.0
255, CONFECTIONERY WHOLESALERS,2003,0.0
256, FISH AND SEAFOOD WHOLESALERS,2002,0.0
257, MEAT AND MEAT PRODUCT WHOLESALERS,2001,0.0
258, MEAT AND MEAT PRODUCT WHOLESALERS,2002,0.0
259, FRESH FRUIT AND VEGETABLE WHOLESALERS,2001,0.0
260," PAINT, VARNISH, AND SUPPLIES WHOLESALERS",2003,0.0
261, FRESH FRUIT AND VEGETABLE WHOLESALERS,2003,0.0
262, OTHER GROCERY AND RELATED PRODUCTS WHOLESALERS,2001,0.0
263, OTHER GROCERY AND RELATED PRODUCTS WHOLESALERS,2003,0.0
264, GRAIN AND FIELD BEAN WHOLESALERS,2000,0.0
265, GRAIN AND FIELD BEAN WHOLESALERS,2001,0.0
266, GRAIN AND FIELD BEAN WHOLESALERS,2002,0.0
267, GRAIN AND FIELD BEAN WHOLESALERS,2005,0.0
268, LIVESTOCK WHOLESALERS,2001,0.0
269, LIVESTOCK WHOLESALERS,2001,0.0
270, LIVESTOCK WHOLESALERS,2003,0.0
271, OTHER FARM PRODUCT RAW MATERIAL WHOLESALERS,2001,0.0
272, OTHER FARM PRODUCT RAW MATERIAL WHOLESALERS,2002,0.0
273, FRESH FRUIT AND VEGETABLE WHOLESALERS,2008,0.0
274, OTHER MISCELLANEOUS NONDURABLE GOODS WHOLESALERS,2001,0.0
275, OTHER MISCELLANEOUS NONDURABLE GOODS WHOLESALERS,2002,0.0
276, AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,2002,0.0
277, MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,2003,0.0
278," WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",2003,0.0
279," WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",2004,0.0
280, GENERAL LINE GROCERY MERCHANT WHOLESALERS,2002,0.0
281, PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,2003,0.0
282, POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,2003,0.0
283, CONFECTIONERY MERCHANT WHOLESALERS,2003,0.0
284, FISH AND SEAFOOD MERCHANT WHOLESALERS,2003,0.0
285, MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS,2003,0.0
286, FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,2004,0.0
287, LIVESTOCK MERCHANT WHOLESALERS,2003,0.0
288," PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",2003,0.0
289, LIVESTOCK MERCHANT WHOLESALERS,2004,0.0
290, PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,2002,0.0
291, PETROLEUM BULK STATIONS AND TERMINALS,2002,0.0
292, PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2000,0.0
293, PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2002,0.0
294," FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",2003,0.0
295," PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2003,0.0
296, BUSINESS TO BUSINESS ELECTRONIC MARKETS,2003,0.0
297, NEW CAR DEALERS,2001,0.0
298, USED CAR DEALERS,2001,0.0
299, USED CAR DEALERS,2002,0.0
300, USED CAR DEALERS,2003,0.0
301, OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2003,0.0
302, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,2002,0.0
303, PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2003,0.0
304, OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2002,0.0
305, MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,2001,0.0
306, TIRE AND TUBE MERCHANT WHOLESALERS,2004,0.0
307, MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,2003,0.0
308," BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",2001,0.0
309," BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",2002,0.0
310," ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",2003,0.0
311, OFFICE EQUIPMENT MERCHANT WHOLESALERS,2000,0.0
312," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2000,0.0
313, OPHTHALMIC GOODS MERCHANT WHOLESALERS,2003,0.0
314, COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,2003,0.0
315," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",2001,0.0
316, PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2002,0.0
317," HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2000,0.0
318," HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2002,0.0
319, CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2002,0.0
320, FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2003,0.0
321, INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2002,0.0
322, SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2000,0.0
323, SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2002,0.0
324, TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2003,0.0
325, TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2003,0.0
326, RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2000,0.0
327, RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2003,0.0
328, OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2000,0.0
